ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A9896577,587,52545550,14,,,POINT,765782,,Data7,Data4,CYCLE,,Data3,7115,,H,UNSPECIFIED,,,m/s,,,,zero,Data8,Test Data 30,25
A9648587,43,64552136,60,,,POINT,638441,,Data8,Data8,CYCLE,,Data2,4664,,H,0,,,m/s,,,,six,Data6,Test Data 27,85
A9885345,612,3251743,230,,,POINT,417348,,Data2,Data1,,1,Data4,1,,H,,,,m/s,,,,four,Data5,Test Data 45,11
A3742927,111,98951953,230,,,POINT,258525,,Data4,Data4,,1,Data3,7802,,,0,,,m/s,,,,,Data2,Test Data 32,72
A625774,73,69065129,16,,,POINT,156775,,Data7,Data6,,,Data5,3852,,,0,,,m/s,,,,one,Data4,Test Data 39,47
A7517380,337,9233968,101,,,POINT,496950,,Data3,Data2,CYCLE,,Data5,1174,,,UNSPECIFIED,,,m/s,,,,,Data6,Test Data 62,1
A8275812,191,90550736,34,,,POINT,505605,,Data2,Data9,,,Data8,7416,,H,UNSPECIFIED,,,m/s,,,,,Data4,Test Data 10,68
A8289561,936,10140362,118,,,POINT,116037,,Data7,Data7,,,Data5,2252,,H,,,,m/s,,,,three,Data9,Test Data 80,9
A8798367,848,24761350,1,,,POINT,83685,,Data8,Data4,,1,Data2,7780,,H,,,,m/s,,,,,Data2,Test Data 73,18
A3242112,520,2820177,77,,,POINT,223445,,Data3,Data7,,1,Data2,1818,,,,,,m/s,,,,one,Data9,Test Data 62,42
A739116,167,29655220,77,,,POINT,841872,,Data5,Data9,CYCLE,1,Data8,8773,,,6001,,,m/s,,,,one,Data9,Test Data 18,24
A4060925,456,14317585,191,,,POINT,517978,,Data6,Data6,,1,Data9,8869,,,0,,,m/s,,,,seven,Data1,Test Data 98,86
A6852769,724,86118484,94,,,POINT,318754,,Data2,Data5,,1,Data9,3166,,,9001,,,m/s,,,,three,Data5,Test Data 46,60
A46819,807,16330036,65,,,POINT,690633,,Data1,Data8,,,Data6,7283,,H,0,,,m/s,,,,five,Data8,Test Data 49,85
A1915407,677,73545725,181,,,POINT,759403,,Data7,Data2,,1,Data5,9711,,H,9001,,,m/s,,,,three,Data5,Test Data 39,75
A6253378,321,7672573,18,,,POINT,786062,,Data8,Data1,CYCLE,,Data4,2942,,,UNSPECIFIED,,,m/s,,,,two,Data3,Test Data 82,25
A1530969,238,86015833,210,,,POINT,711152,,Data5,Data6,CYCLE,,Data6,6663,,,9001,,,m/s,,,,one,Data2,Test Data 47,54
A7604631,477,70618257,33,,,POINT,300701,,Data3,Data6,CYCLE,1,Data8,5279,,H,,,,m/s,,,,zero,Data6,Test Data 41,78
A97169,997,19283997,133,,,POINT,68921,,Data3,Data2,,1,Data5,4075,,,UNSPECIFIED,,,m/s,,,,three,Data3,Test Data 81,38
A5642117,94,20214713,228,,,POINT,298134,,Data1,Data3,,,Data3,5870,,H,6001,,,m/s,,,,seven,Data9,Test Data 37,78
A6783678,345,26111695,248,,,POINT,719752,,Data4,Data4,CYCLE,,Data3,9086,,,6001,,,m/s,,,,six,Data3,Test Data 84,20
A919479,654,82696180,80,,,POINT,877449,,Data5,Data7,,1,Data9,7313,,H,6001,,,m/s,,,,zero,Data4,Test Data 3,91
A8360798,630,34629263,96,,,POINT,593096,,Data7,Data6,,1,Data4,5886,,,UNSPECIFIED,,,m/s,,,,one,Data5,Test Data 80,70
A637046,103,28111405,53,,,POINT,388027,,Data2,Data1,,,Data5,5811,,,6001,,,m/s,,,,six,Data3,Test Data 17,3
A3952549,74,59721390,195,,,POINT,916498,,Data9,Data5,CYCLE,,Data7,4358,,H,0,,,m/s,,,,six,Data7,Test Data 42,27
A3609637,463,56165217,115,,,POINT,826731,,Data8,Data8,,1,Data2,1063,,,0,,,m/s,,,,,Data8,Test Data 48,30
A782109,785,63080946,115,,,POINT,657081,,Data7,Data7,,,Data1,2742,,,,,,m/s,,,,,Data5,Test Data 41,57
A7842267,159,79310019,32,,,POINT,196669,,Data6,Data6,CYCLE,,Data1,1867,,,,,,m/s,,,,zero,Data9,Test Data 34,15
A4823115,801,26470581,40,,,POINT,850725,,Data2,Data3,,,Data5,7656,,,0,,,m/s,,,,seven,Data1,Test Data 36,1
A6747422,736,81758712,6,,,POINT,855877,,Data9,Data2,,1,Data7,8102,,,,,,m/s,,,,seven,Data6,Test Data 2,37
A8581865,3,16602104,172,,,POINT,843283,,Data1,Data5,,,Data9,8479,,H,,,,m/s,,,,two,Data4,Test Data 96,78
A8856513,66,54209302,189,,,POINT,899902,,Data9,Data2,,,Data1,7542,,H,UNSPECIFIED,,,m/s,,,,,Data2,Test Data 20,24
A8647017,759,99426826,100,,,POINT,165966,,Data7,Data1,CYCLE,,Data3,6112,,H,,,,m/s,,,,three,Data7,Test Data 41,91
A6795906,450,99178197,136,,,POINT,504112,,Data9,Data3,CYCLE,1,Data7,8635,,H,UNSPECIFIED,,,m/s,,,,,Data4,Test Data 80,81
A8330050,681,91098573,160,,,POINT,612988,,Data1,Data8,CYCLE,1,Data8,413,,,UNSPECIFIED,,,m/s,,,,six,Data9,Test Data 26,30
A2905499,535,55731698,169,,,POINT,162416,,Data4,Data3,,,Data7,7220,,H,0,,,m/s,,,,two,Data7,Test Data 58,69
A1296051,61,46533239,173,,,POINT,163094,,Data2,Data9,,,Data2,9937,,,0,,,m/s,,,,three,Data8,Test Data 37,81
A9451417,712,62309764,241,,,POINT,132509,,Data3,Data5,,,Data4,3261,,H,0,,,m/s,,,,three,Data4,Test Data 18,87
A7832916,564,23876927,237,,,POINT,457171,,Data5,Data7,,1,Data3,546,,,9001,,,m/s,,,,,Data7,Test Data 44,67
A979944,957,36268210,209,,,POINT,739075,,Data2,Data4,CYCLE,1,Data6,9635,,H,9001,,,m/s,,,,six,Data7,Test Data 92,13
A3117267,769,83622516,210,,,POINT,916700,,Data1,Data2,,1,Data1,5244,,H,UNSPECIFIED,,,m/s,,,,four,Data2,Test Data 36,5
A8457826,720,58942016,202,,,POINT,229524,,Data7,Data2,,1,Data8,2663,,,0,,,m/s,,,,one,Data4,Test Data 55,57
A6510593,572,15185701,143,,,POINT,622095,,Data3,Data1,,1,Data8,1388,,,UNSPECIFIED,,,m/s,,,,,Data8,Test Data 41,73
A4448749,575,54829676,99,,,POINT,146300,,Data5,Data4,,,Data1,1805,,H,6001,,,m/s,,,,six,Data6,Test Data 13,18
A5361026,562,78566825,212,,,POINT,779444,,Data7,Data5,CYCLE,1,Data7,4521,,,6001,,,m/s,,,,,Data2,Test Data 89,72
A502663,353,47921923,17,,,POINT,907082,,Data8,Data3,,,Data3,8240,,H,,,,m/s,,,,four,Data6,Test Data 73,97
A2139921,151,44553616,92,,,POINT,751534,,Data1,Data4,CYCLE,,Data5,691,,,6001,,,m/s,,,,zero,Data1,Test Data 90,67
A1682918,522,55350312,204,,,POINT,574895,,Data4,Data8,,,Data6,1285,,,,,,m/s,,,,,Data7,Test Data 27,79
A8691579,944,45153548,167,,,POINT,268367,,Data2,Data1,,,Data4,2388,,,0,,,m/s,,,,one,Data5,Test Data 30,7
A7328370,700,91932141,64,,,POINT,860515,,Data5,Data7,,,Data3,1941,,H,0,,,m/s,,,,three,Data4,Test Data 94,72
A4206586,456,86061008,56,,,POINT,328890,,Data8,Data4,,1,Data3,7421,,H,9001,,,m/s,,,,four,Data9,Test Data 5,26
A1029395,763,89424454,188,,,POINT,294315,,Data5,Data8,CYCLE,,Data7,2319,,H,,,,m/s,,,,,Data4,Test Data 75,13
A2100404,735,77834022,164,,,POINT,102497,,Data5,Data2,,,Data5,9304,,H,UNSPECIFIED,,,m/s,,,,four,Data6,Test Data 11,6
A5743861,348,60432569,203,,,POINT,158997,,Data9,Data8,,,Data8,3067,,,9001,,,m/s,,,,three,Data3,Test Data 81,48
A621000,738,45439266,181,,,POINT,461482,,Data8,Data7,CYCLE,,Data7,3735,,H,6001,,,m/s,,,,zero,Data3,Test Data 87,66
A1709319,500,21299362,181,,,POINT,147080,,Data6,Data8,CYCLE,,Data8,4692,,H,9001,,,m/s,,,,one,Data6,Test Data 12,49
A5946323,178,50388530,2,,,POINT,964247,,Data2,Data9,,1,Data4,8448,,,6001,,,m/s,,,,three,Data1,Test Data 72,64
A2721129,312,4453493,4,,,POINT,78010,,Data3,Data9,,,Data8,5738,,H,9001,,,m/s,,,,six,Data8,Test Data 69,2
A9591045,516,13863044,99,,,POINT,908011,,Data8,Data3,CYCLE,1,Data4,6545,,H,UNSPECIFIED,,,m/s,,,,one,Data1,Test Data 55,66
A75494,893,99369167,241,,,POINT,260024,,Data8,Data3,,,Data1,4080,,,,,,m/s,,,,four,Data3,Test Data 76,76
A6778032,162,32132798,236,,,POINT,581591,,Data6,Data9,CYCLE,1,Data2,3724,,H,9001,,,m/s,,,,six,Data3,Test Data 58,81
A4401799,517,87367740,203,,,POINT,409925,,Data4,Data2,,,Data5,3454,,,9001,,,m/s,,,,,Data6,Test Data 7,33
A4786163,588,32011876,72,,,POINT,925350,,Data8,Data5,,,Data4,491,,H,9001,,,m/s,,,,two,Data4,Test Data 95,55
A7213660,252,64593034,236,,,POINT,178448,,Data1,Data1,CYCLE,1,Data3,9235,,,9001,,,m/s,,,,one,Data6,Test Data 77,37
A8893697,926,47924573,208,,,POINT,604158,,Data9,Data5,,1,Data7,5127,,H,UNSPECIFIED,,,m/s,,,,three,Data9,Test Data 75,58
A2620498,502,2686812,209,,,POINT,323982,,Data9,Data2,,,Data6,9549,,H,,,,m/s,,,,three,Data6,Test Data 12,4
A150894,823,83201355,71,,,POINT,948220,,Data2,Data5,CYCLE,,Data7,9439,,,6001,,,m/s,,,,four,Data4,Test Data 21,93
A2401647,607,49743492,133,,,POINT,632167,,Data4,Data1,CYCLE,,Data6,2913,,H,,,,m/s,,,,,Data6,Test Data 45,34
A5677072,898,71280488,46,,,POINT,761444,,Data4,Data9,,1,Data8,3308,,,,,,m/s,,,,six,Data4,Test Data 61,60
A7313084,830,36649051,185,,,POINT,489624,,Data3,Data4,CYCLE,1,Data7,1957,,,UNSPECIFIED,,,m/s,,,,four,Data2,Test Data 4,11
A2188744,580,5826773,148,,,POINT,204317,,Data7,Data2,,1,Data4,3396,,H,,,,m/s,,,,five,Data6,Test Data 69,76
A1127457,86,10747711,238,,,POINT,554762,,Data6,Data4,,1,Data4,8075,,,6001,,,m/s,,,,four,Data6,Test Data 97,35
A2750240,218,75865591,84,,,POINT,456384,,Data8,Data3,,1,Data7,4445,,,,,,m/s,,,,five,Data7,Test Data 30,92
A5596750,370,18882673,23,,,POINT,372590,,Data7,Data2,,,Data2,2192,,H,,,,m/s,,,,five,Data3,Test Data 41,98
A2236600,69,51388211,245,,,POINT,511389,,Data6,Data5,CYCLE,1,Data8,5524,,H,,,,m/s,,,,,Data5,Test Data 58,88
A8082431,412,34640338,65,,,POINT,426814,,Data4,Data5,,,Data9,7751,,,6001,,,m/s,,,,four,Data2,Test Data 78,84
A2253323,749,4210752,170,,,POINT,294078,,Data7,Data6,,,Data8,846,,H,6001,,,m/s,,,,,Data7,Test Data 80,100
A6320243,826,55955158,74,,,POINT,415408,,Data9,Data5,,1,Data1,6542,,,6001,,,m/s,,,,six,Data3,Test Data 81,91
A3833306,167,990746,164,,,POINT,607913,,Data7,Data7,,1,Data2,3407,,,,,,m/s,,,,,Data2,Test Data 49,78
A14759,612,49959796,200,,,POINT,128446,,Data1,Data5,,,Data2,5962,,H,,,,m/s,,,,one,Data3,Test Data 43,23
A5683082,772,48549293,210,,,POINT,701129,,Data4,Data5,,,Data1,782,,H,,,,m/s,,,,,Data9,Test Data 7,32
A9196609,726,57320362,69,,,POINT,686065,,Data4,Data7,,,Data9,9608,,H,,,,m/s,,,,seven,Data8,Test Data 21,32
A2881151,456,7264365,107,,,POINT,131368,,Data1,Data1,,,Data2,6504,,H,9001,,,m/s,,,,two,Data8,Test Data 65,24
A293581,638,30246506,63,,,POINT,811530,,Data2,Data9,,,Data2,3968,,H,,,,m/s,,,,,Data7,Test Data 55,48
A9629890,746,30543228,78,,,POINT,696326,,Data5,Data1,,1,Data4,6821,,H,,,,m/s,,,,one,Data7,Test Data 94,57
A3472661,474,73431193,175,,,POINT,855855,,Data1,Data5,,1,Data1,7960,,H,0,,,m/s,,,,,Data8,Test Data 40,35
A6389844,70,912118,250,,,POINT,110125,,Data4,Data3,CYCLE,1,Data9,2503,,H,6001,,,m/s,,,,,Data3,Test Data 90,95
A4817782,1,84577479,159,,,POINT,149916,,Data5,Data7,,,Data6,1613,,H,9001,,,m/s,,,,,Data5,Test Data 28,62
A640013,396,68214125,31,,,POINT,178777,,Data2,Data6,,1,Data3,3463,,,9001,,,m/s,,,,four,Data6,Test Data 48,61
A9556794,387,95225838,30,,,POINT,399140,,Data5,Data3,,1,Data7,4962,,H,9001,,,m/s,,,,three,Data4,Test Data 74,71
A792982,227,70327881,27,,,POINT,357785,,Data4,Data3,CYCLE,1,Data9,8734,,H,0,,,m/s,,,,seven,Data4,Test Data 71,72
A6344321,183,33148716,134,,,POINT,353314,,Data7,Data1,CYCLE,,Data8,8888,,H,6001,,,m/s,,,,seven,Data3,Test Data 49,28
A9136131,544,15389326,129,,,POINT,932969,,Data4,Data6,CYCLE,1,Data1,2631,,,9001,,,m/s,,,,,Data2,Test Data 72,65
A5796056,17,98604462,188,,,POINT,88923,,Data5,Data4,CYCLE,,Data3,1977,,,0,,,m/s,,,,one,Data6,Test Data 36,57
A7522362,61,53275216,212,,,POINT,870135,,Data1,Data6,,1,Data3,9644,,H,0,,,m/s,,,,,Data6,Test Data 68,63
A9796265,662,25730858,177,,,POINT,224482,,Data3,Data8,CYCLE,,Data8,7883,,H,0,,,m/s,,,,three,Data2,Test Data 44,89
A3724748,527,71321377,55,,,POINT,189933,,Data8,Data9,CYCLE,,Data6,43,,,UNSPECIFIED,,,m/s,,,,three,Data7,Test Data 38,97
A6375164,406,5681222,167,,,POINT,397261,,Data9,Data8,CYCLE,1,Data2,2242,,H,UNSPECIFIED,,,m/s,,,,seven,Data5,Test Data 89,12
A879386,768,64033606,191,,,POINT,182084,,Data4,Data5,,,Data2,1936,,H,,,,m/s,,,,,Data7,Test Data 34,38
A1543446,852,68922334,72,,,POINT,757480,,Data9,Data5,,,Data8,816,,H,9001,,,m/s,,,,four,Data6,Test Data 61,94
